Open,High,Low,Close,Adj Close,Volume
4.939939975738525,5.096096038818359,4.891390800476074,5.0728230476379395,5.0728230476379395,633134232
5.040040016174316,5.0783281326293945,4.841842174530029,4.867366790771484,4.867366790771484,549685764
4.841091156005859,4.927426815032959,4.810561180114746,4.842593193054199,4.842593193054199,329134536
4.881882190704346,4.902401924133301,4.69769811630249,4.718468189239502,4.718468189239502,415068516
4.770771026611328,4.861111164093018,4.724224090576172,4.851100921630859,4.851100921630859,386129484
4.867366790771484,4.957457065582275,4.800550937652588,4.881381034851074,4.881381034851074,301282416
4.895394802093506,4.94769811630249,4.834333896636963,4.8433427810668945,4.8433427810668945,278069652
4.863112926483154,4.903152942657471,4.767267227172852,4.8893890380859375,4.8893890380859375,326784888
4.8893890380859375,4.939690113067627,4.856105804443359,4.8881378173828125,4.8881378173828125,273702024
4.904904842376709,5.005255222320557,4.858108043670654,5.00425386428833,5.00425386428833,385226388
5.0292792320251465,5.130630970001221,4.971470832824707,5.102602958679199,5.102602958679199,526377096
5.121370792388916,5.137638092041016,4.922673225402832,4.937437057495117,4.937437057495117,449857692
4.817317008972168,4.911160945892334,4.804804801940918,4.852852821350098,4.852852821350098,359703936
4.868368148803711,4.888888835906982,4.70770788192749,4.711711883544922,4.711711883544922,369965664
4.7219719886779785,4.737987995147705,4.512513160705566,4.522522926330566,4.522522926330566,560347092
4.55305290222168,4.560561180114746,4.4116621017456055,4.432432174682617,4.432432174682617,425941632
4.486236095428467,4.739990234375,4.4832329750061035,4.735735893249512,4.735735893249512,491823684
4.723723888397217,4.726225852966309,4.634634971618652,4.706707000732422,4.706707000732422,264830904
4.755255222320557,4.872372150421143,4.663163185119629,4.76326322555542,4.76326322555542,487839672
4.847096920013428,4.913914203643799,4.797798156738281,4.895394802093506,4.895394802093506,383484132
4.864364147186279,4.921421051025391,4.77052116394043,4.80230188369751,4.80230188369751,752806440
5.394144058227539,5.425425052642822,5.096597194671631,5.154153823852539,5.154153823852539,1310660028
5.154904842376709,5.339590072631836,5.150400161743164,5.2767767906188965,5.2767767906188965,519004476
5.166916847229004,5.198948860168457,5.070069789886475,5.114113807678223,5.114113807678223,592179228
5.136637210845947,5.165164947509766,4.892642974853516,4.905655860900879,4.905655860900879,517897584
4.928928852081299,5.0055060386657715,4.868117809295654,4.97097110748291,4.97097110748291,458740800
5.02402400970459,5.045044898986816,4.741240978240967,4.7942938804626465,4.7942938804626465,686173140
4.804053783416748,4.810060024261475,4.635886192321777,4.704204082489014,4.704204082489014,758548692
4.671171188354492,4.812812805175781,4.656405925750732,4.689690113067627,4.689690113067627,524115360
4.575826168060303,4.831831932067871,4.529530048370361,4.829579830169678,4.829579830169678,1540945512
4.844844818115234,5.001000881195068,4.831831932067871,4.885635852813721,4.885635852813721,1030280688
4.872372150421143,4.9882378578186035,4.862361907958984,4.96521520614624,4.96521520614624,660630708
4.9507012367248535,4.998748779296875,4.925175189971924,4.952452182769775,4.952452182769775,416159424
4.967718124389648,4.97597599029541,4.921421051025391,4.953703880310059,4.953703880310059,339096564
4.917417049407959,4.977477073669434,4.764514923095703,4.789039134979248,4.789039134979248,538808652
4.837337017059326,4.8668670654296875,4.721220970153809,4.853603839874268,4.853603839874268,622816560
4.588839054107666,4.751000881195068,4.560309886932373,4.7269768714904785,4.7269768714904785,1031539428
4.733482837677002,4.752752780914307,4.642392158508301,4.651401042938232,4.651401042938232,398541060
4.6546549797058105,4.75150203704834,4.650900840759277,4.704453945159912,4.704453945159912,312423264
4.736987113952637,4.74849796295166,4.5545549392700195,4.656156063079834,4.656156063079834,372075552
4.653402805328369,4.696445941925049,4.613614082336426,4.634133815765381,4.634133815765381,291128580
4.657907962799072,4.698448181152344,4.612361907958984,4.679930210113525,4.679930210113525,304039656
4.6721720695495605,4.685935974121094,4.631381034851074,4.652152061462402,4.652152061462402,270693036
4.699199199676514,4.744744777679443,4.680429935455322,4.724975109100342,4.724975109100342,346349304
4.732232093811035,4.751000881195068,4.628879070281982,4.634634971618652,4.634634971618652,321522156
4.609859943389893,4.620871067047119,4.508509159088135,4.538288116455078,4.538288116455078,453961584
4.52977991104126,4.534534931182861,4.439438819885254,4.504004001617432,4.504004001617432,437981580
4.5155158042907715,4.52827787399292,4.433183193206787,4.449449062347412,4.449449062347412,320810868
4.46271276473999,4.46446418762207,4.318569183349609,4.379128932952881,4.379128932952881,445418136
4.386887073516846,4.504505157470703,4.359610080718994,4.469719886779785,4.469719886779785,416467116
4.421922206878662,4.469719886779785,4.379630088806152,4.3943939208984375,4.3943939208984375,283967748
4.432682991027832,4.495494842529297,4.3993988037109375,4.48673677444458,4.48673677444458,330093576
4.474724769592285,4.514514923095703,4.462212085723877,4.5055060386657715,4.5055060386657715,283316400
4.486236095428467,4.55880880355835,4.435686111450195,4.526526927947998,4.526526927947998,299048652
4.53403377532959,4.55305290222168,4.4507012367248535,4.46946907043457,4.46946907043457,225042732
4.453703880310059,4.5105109214782715,4.453703880310059,4.478979110717773,4.478979110717773,193606200
4.522021770477295,4.526025772094727,4.4844841957092285,4.485735893249512,4.485735893249512,148059792
4.546546936035156,4.624625205993652,4.52827787399292,4.540040016174316,4.540040016174316,349170480
4.530780792236328,4.586586952209473,4.45620584487915,4.493743896484375,4.493743896484375,258661080
4.52052116394043,4.540791034698486,4.4944939613342285,4.515766143798828,4.515766143798828,249194556
4.453203201293945,4.5392889976501465,4.4454450607299805,4.517267227172852,4.517267227172852,270473256
4.548549175262451,4.5783281326293945,4.50425386428833,4.5055060386657715,4.5055060386657715,247032720
